geoid (zcta),state_abbr,lon,lat,count_prop,days_above_100_today,days_above_100_30yrs,change_days_above_100,change_perc_above_100
03743,nh,-72.32528,43.35815,5342,1,3,2,200
03745,nh,-72.3323,43.47006,718,1,3,2,200
03746,nh,-72.25743,43.49432,96,0,2,2,NA
03748,nh,-72.1139,43.59371,2951,1,2,1,100
03750,nh,-72.2026,43.7076,460,1,2,1,100
03751,nh,-72.08876,43.44895,407,1,3,2,200
03752,nh,-72.11522,43.28921,600,0,2,2,NA
03753,nh,-72.14982,43.51695,1860,1,2,1,100
03754,nh,-72.13839,43.37746,29,1,3,2,200
03755,nh,-72.18929,43.71773,2318,1,4,3,300
03765,nh,-72.05268,44.03409,301,1,2,1,100
03766,nh,-72.23726,43.63466,3042,1,3,2,200
03768,nh,-72.11584,43.80537,1121,1,2,1,100
03770,nh,-72.26649,43.53404,249,1,2,1,100
03771,nh,-72.00933,44.28505,411,0,1,1,NA
03773,nh,-72.19943,43.38519,4241,1,3,2,200
03774,nh,-71.99525,44.08898,1355,1,2,1,100
03777,nh,-72.0696,43.89525,1011,0,2,2,NA
03779,nh,-72.0288,43.97236,601,0,1,1,NA
03780,nh,-71.9775,44.0323,396,0,1,1,NA
03781,nh,-72.28409,43.55277,1071,1,3,2,200
03782,nh,-72.09278,43.39094,2902,1,3,2,200
03784,nh,-72.30601,43.6365,1344,1,4,3,300
03785,nh,-71.89421,44.06389,1693,1,2,1,100
03801,nh,-70.80517,43.07295,6767,2,5,3,150
03809,nh,-71.2124,43.45375,2397,1,3,2,200
03810,nh,-71.28095,43.52704,2690,1,3,2,200
03811,nh,-71.16039,42.83699,2896,3,9,6,200
03812,nh,-71.29206,44.0806,1148,0,1,1,NA
03813,nh,-71.04517,44.09755,2270,2,5,3,150
03814,nh,-71.18481,43.76919,2763,1,3,2,200
03816,nh,-71.25523,43.68472,1700,1,3,2,200
03817,nh,-71.23221,43.88752,480,1,4,3,300
03818,nh,-71.25002,43.97359,2570,1,4,3,300
03819,nh,-71.12121,42.92843,1611,3,9,6,200
03820,nh,-70.88677,43.18881,8592,4,9,5,125
03823,nh,-70.941,43.17289,784,4,9,5,125
03824,nh,-70.91947,43.11743,2439,3,8,5,166.7
03825,nh,-71.04282,43.2136,4795,3,8,5,166.7
03826,nh,-71.13382,42.88617,749,3,9,6,200
03827,nh,-70.98772,42.90687,1351,3,8,5,166.7
03830,nh,-71.00251,43.63403,2691,1,3,2,200
03832,nh,-71.04782,43.90307,685,1,3,2,200
03833,nh,-70.98918,42.97475,6766,3,8,5,166.7
03835,nh,-71.07602,43.36294,3081,2,5,3,150
03836,nh,-71.07151,43.8262,2322,1,4,3,300
03837,nh,-71.3291,43.42164,1092,1,3,2,200
03838,nh,-71.24097,44.11232,1705,1,2,1,100
03839,nh,-70.98373,43.26201,1423,4,9,5,125
03840,nh,-70.848,43.03847,1662,2,6,4,200
03841,nh,-71.18095,42.88311,2843,3,8,5,166.7
03842,nh,-70.83714,42.93966,6351,1,4,3,300
03844,nh,-70.88581,42.92704,1144,2,5,3,150
03845,nh,-71.12526,44.10662,1403,1,3,2,200
03846,nh,-71.19065,44.18531,1509,0,1,1,NA
03847,nh,-71.11318,44.07002,167,1,3,2,200
03848,nh,-71.06648,42.91561,2986,4,9,5,125
03849,nh,-71.13379,43.90044,2264,1,3,2,200
03850,nh,-71.302,43.69269,435,1,3,2,200
03851,nh,-71.01645,43.43607,49,1,4,3,300
03852,nh,-70.97541,43.49811,11,1,4,3,300
03853,nh,-71.27899,43.63949,992,1,3,2,200
03854,nh,-70.71783,43.0635,588,1,3,2,200
03855,nh,-71.14195,43.46355,2672,1,3,2,200
03856,nh,-70.96626,43.03922,781,4,9,5,125
03857,nh,-70.95186,43.06912,2636,4,9,5,125
03858,nh,-71.04358,42.86848,1828,3,9,6,200
03860,nh,-71.11988,44.04207,2427,2,5,3,150
03861,nh,-71.00688,43.11968,1606,4,10,6,150
03862,nh,-70.83025,42.97906,2014,2,5,3,150
03864,nh,-71.10883,43.69142,1570,1,3,2,200
03865,nh,-71.09613,42.84031,2597,4,9,5,125
03867,nh,-70.987,43.30338,7379,3,9,6,200
03868,nh,-70.94129,43.31998,1600,3,8,5,166.7
03869,nh,-70.84195,43.22077,1087,4,10,6,150
03870,nh,-70.76035,43.01525,2828,1,4,3,300
03871,nh,-70.77478,42.98228,78,1,4,3,300
03872,nh,-71.04499,43.56974,3192,1,3,2,200
03873,nh,-71.18211,42.93399,2442,3,8,5,166.7
03874,ma,-70.86033,42.88706,3322,1,4,3,300
03875,nh,-71.18604,43.89549,895,1,4,3,300
03878,nh,-70.88514,43.25288,3509,4,9,5,125
03882,nh,-71.04223,43.74559,1533,1,4,3,300
03883,nh,-71.30767,43.80764,149,0,1,1,NA
03884,nh,-71.14822,43.27981,2436,2,5,3,150
03885,nh,-70.9006,43.01575,2380,3,7,4,133.3
03886,nh,-71.28683,43.86244,1653,1,3,2,200
03887,nh,-71.06264,43.48599,1562,1,3,2,200
03890,nh,-71.19659,43.80808,396,1,4,3,300
03894,nh,-71.17168,43.61214,4683,1,3,2,200
03901,me,-70.84363,43.30063,2213,4,9,5,125
03902,me,-70.63619,43.22098,1870,0,1,1,NA
03903,me,-70.78602,43.1488,3198,2,6,4,200
03904,me,-70.73105,43.11059,3104,1,4,3,300
03905,me,-70.68673,43.08643,1243,1,3,2,200
03906,me,-70.77776,43.34578,2300,3,7,4,133.3
03907,me,-70.60937,43.25412,1655,0,1,1,NA
03908,me,-70.74782,43.23879,2999,3,8,5,166.7
03909,me,-70.679,43.16612,6408,1,2,1,100
03910,me,-70.61681,43.17239,470,0,1,1,NA
03911,me,-70.6262,43.14085,224,1,2,1,100
04001,me,-70.92096,43.52727,3014,1,4,3,300
04002,me,-70.67937,43.49584,4212,2,6,4,200
04003,me,-69.96367,43.7259,646,0,0,0,NA
04005,me,-70.48834,43.4935,8463,0,2,2,NA
04006,me,-70.34457,43.44429,120,0,0,0,NA
04008,me,-69.86214,44.03708,1515,0,2,2,NA
04009,me,-70.73378,44.04834,5367,1,3,2,200
04010,me,-70.91673,43.93298,8,2,4,2,100
04011,me,-69.9779,43.89725,7347,0,1,1,NA
04015,me,-70.51793,43.97435,3247,1,4,3,300
04019,me,-70.10075,43.68322,242,0,0,0,NA
04020,me,-70.8103,43.76812,1,1,4,3,300
04021,me,-70.2649,43.79743,2567,0,1,1,NA
04022,me,-70.80718,43.98056,1703,1,3,2,200
04024,me,-70.6777,43.83305,527,1,4,3,300
04027,me,-70.91151,43.40333,3000,3,7,4,133.3
04029,me,-70.68775,43.90165,2103,1,3,2,200
04030,me,-70.69233,43.58948,1,2,6,4,200
04032,me,-70.09397,43.8467,3834,0,0,0,NA
04037,me,-70.94978,44.09266,3170,2,4,2,100
04038,me,-70.45808,43.70341,6480,1,4,3,300
04039,me,-70.34215,43.88748,4033,1,3,2,200
04040,me,-70.71843,44.11099,3206,1,3,2,200
04041,me,-70.8256,43.86395,1443,1,3,2,200
04042,me,-70.62452,43.62953,2266,2,5,3,150
04043,me,-70.57025,43.39701,6862,0,1,1,NA
04046,me,-70.49005,43.41877,5534,0,1,1,NA
04048,me,-70.78286,43.68738,3431,1,4,3,300
04049,me,-70.70295,43.73769,2130,1,4,3,300
04050,me,-70.15143,43.68191,719,0,0,0,NA
04051,me,-70.88457,44.18865,1937,1,3,2,200
04055,me,-70.61542,43.97018,3758,1,4,3,300
04057,me,-70.69892,44.10155,21,1,4,3,300
04062,me,-70.40447,43.79746,7858,1,3,2,200
04063,me,-70.39613,43.50111,544,0,1,1,NA
04064,me,-70.38826,43.52537,3770,0,1,1,NA
04066,me,-69.9679,43.77199,597,0,0,0,NA
04068,me,-70.94065,43.83991,6,1,4,3,300
04069,me,-70.18185,43.89915,830,0,1,1,NA
04071,me,-70.45083,43.92835,4081,1,4,3,300
04072,me,-70.45771,43.53565,7009,0,2,2,NA
04073,me,-70.74235,43.41333,7127,3,7,4,133.3
04074,me,-70.36448,43.58772,8457,0,1,1,NA
04076,me,-70.83788,43.55244,2861,2,5,3,150
04079,me,-69.97285,43.79161,3807,0,0,0,NA
04083,me,-70.81381,43.46726,1930,3,8,5,166.7
04084,me,-70.56599,43.76607,4378,1,4,3,300
04085,me,-70.62666,43.77447,945,1,4,3,300
04086,me,-69.95874,43.96146,3892,0,1,1,NA
04087,me,-70.75253,43.56554,5,1,4,3,300
04088,me,-70.7163,44.19309,1665,1,2,1,100
