geoid,state_abbr,population,change_perc_above_100,lon,name,count_prop,lat,days_above_100_today,days_above_100_30yrs,change_days_above_100,geometry
60035,il,30251,83.3,-87.80539,ZCTA5 60035,11096,42.1846,6,11,5,"list(c(-87.85187, -87.821078, -87.789522, -87.7591420524806, -87.808331802109, -87.821578, -87.821766, -87.85187, 42.203632, 42.152541, 42.152473, 42.1522549693357, 42.2242030789428, 42.218048, 42.218048, 42.203632))"
60201,il,43452,100,-87.69213,ZCTA5 60201,9260,42.05638,6,12,6,"list(c(-87.73242, -87.72747, -87.709717, -87.6708272372586, -87.679843229159, -87.73242, 42.064666, 42.055256, 42.040944, 42.0410750607308, 42.0717130475563, 42.064666))"
60615,il,41767,100,-87.59656,ZCTA5 60615,4725,41.80236,8,16,8,"list(c(-87.625268, -87.625701, -87.576208059362, -87.5877863944812, -87.625268, 41.809249, 41.794643, 41.7951630689925, 41.8112158023417, 41.809249))"
62401,il,19258,90,-88.56417,ZCTA5 62401,10804,39.1195,20,38,18,"list(c(-88.679858, -88.626143, -88.503846, -88.451679, -88.46775, -88.52408, -88.49888, -88.470934, -88.470906, -88.568003, -88.590989, -88.595491, -88.679858, 39.138984, 39.033643, 39.009037, 39.015679, 39.073087, 39.095827, 39.186136, 39.185978, 39.215029, 39.229874, 39.215426, 39.171914, 39.138984))"
60014,il,47612,100,-88.32729,ZCTA5 60014,18422,42.23202,8,16,8,"list(c(-88.375258, -88.412872, -88.398317, -88.335532, -88.286537, -88.253242, -88.213398, -88.213277, -88.226791, -88.229334, -88.286683, -88.375258, 42.248026, 42.229773, 42.204805, 42.19035, 42.206373, 42.252474, 42.245043, 42.251852, 42.27973, 42.277969, 42.24865, 42.248026))"
60169,il,34188,80,-88.11664,ZCTA5 60169,8132,42.05038,10,18,8,"list(c(-88.090847, -88.179035, -88.144659, -88.138753, -88.099568, -88.091562, -88.060203, -88.079693, -88.090847, 42.065157, 42.056345, 42.039239, 42.039553, 42.026564, 42.026844, 42.035523, 42.049306, 42.065157))"
60448,il,25172,100,-87.89376,ZCTA5 60448,10059,41.5377,10,20,10,"list(c(-87.962444, -87.908417, -87.9072, -87.843535, -87.860787, -87.909809, -87.962444, 41.555602, 41.5289, 41.491693, 41.528474, 41.557522, 41.573338, 41.555602))"
60652,il,43485,100,-87.7148,ZCTA5 60652,13172,41.74793,8,16,8,"list(c(-87.686682, -87.741599, -87.741067, -87.721436, -87.687395, -87.683047, -87.686682, 41.757478, 41.756489, 41.734524, 41.734862, 41.735444, 41.757379, 41.757478))"
62870,il,2168,87,-89.05107,ZCTA5 62870,1917,38.63491,23,43,20,"list(c(-89.101854, -89.08652, -89.095603, -89.010016, -89.008492, -89.101854, 38.689489, 38.677579, 38.575838, 38.561712, 38.70927, 38.689489))"
62530,il,1366,105.6,-89.66136,ZCTA5 62530,1254,39.56175,18,37,19,"list(c(-89.669662, -89.670149, -89.720937, -89.701661, -89.59505, -89.618466, -89.669662, 39.619761, 39.574779, 39.544999, 39.523316, 39.539193, 39.601105, 39.619761))"
60449,il,9579,100,-87.77244,ZCTA5 60449,4449,41.41567,10,20,10,"list(c(-87.903308, -87.870358, -87.747294, -87.718151, -87.670342, -87.670569, -87.709689, -87.709872, -87.770949, -87.780587, -87.82548, -87.903308, 41.439731, 41.396535, 41.383384, 41.361888, 41.39849, 41.420352, 41.456423, 41.464377, 41.476635, 41.46982, 41.426255, 41.439731))"
61817,il,2440,106.7,-87.71677,ZCTA5 61817,1737,40.03786,15,31,16,"list(c(-87.75324, -87.75644, -87.70722, -87.679733, -87.676227, -87.715448, -87.75324, 40.087407, 39.99863, 39.95112, 40.013336, 40.080328, 40.102124, 40.087407))"
61528,il,3256,107.1,-89.72293,ZCTA5 61528,1738,40.77896,14,29,15,"list(c(-89.75589, -89.756564, -89.717403, -89.689263, -89.678953, -89.736598, -89.75589, 40.813324, 40.742347, 40.725568, 40.748932, 40.812938, 40.813183, 40.813324))"
