fips,namelsad,count_property,count_firefactor1,count_firefactor2,count_firefactor3,count_firefactor4,count_firefactor5,count_firefactor6,count_firefactor7,count_firefactor8,count_firefactor9,count_firefactor10
05089,Marion County,12182,380,547,4061,4040,2537,527,69,21,0,0
05091,Miller County,26421,6103,1489,5037,4040,3853,3045,2231,590,29,4
05093,Mississippi County,30354,27617,2726,11,0,0,0,0,0,0,0
05095,Monroe County,9313,5484,1728,1647,429,23,2,0,0,0,0
05097,Montgomery County,11205,36,30,1964,5164,3311,654,43,3,0,0
05099,Nevada County,12253,53,334,4111,5837,1691,217,10,0,0,0
05101,Newton County,5840,6,70,683,2233,2102,617,122,7,0,0
05103,Ouachita County,16521,1491,2750,6583,4596,1022,77,2,0,0,0
05105,Perry County,10026,238,246,2155,4114,2715,531,26,1,0,0
05107,Phillips County,17279,10207,5965,1098,9,0,0,0,0,0,0
05109,Pike County,10950,188,483,3589,4782,1726,181,1,0,0,0
05111,Poinsett County,18992,15889,2286,646,169,2,0,0,0,0,0
05113,Polk County,18715,459,784,4384,7052,4511,1372,142,11,0,0
05115,Pope County,30032,616,1175,10355,10113,6447,1242,80,4,0,0
05117,Prairie County,9887,4489,3408,1362,427,186,15,0,0,0,0
05119,Pulaski County,175268,57354,49341,51405,15154,1923,83,8,0,0,0
05121,Randolph County,17793,2498,1115,5308,4584,3026,1185,77,0,0,0
05123,St. Francis County,17766,7905,4837,4687,292,36,6,3,0,0,0
05125,Saline County,73818,5685,14456,30328,17074,5806,438,31,0,0,0
05127,Scott County,10883,39,3,753,2972,3559,2110,1033,378,36,0
05129,Searcy County,7856,3,2,427,2228,3275,1457,387,62,14,1
05131,Sebastian County,57927,10838,1465,7428,11167,9613,7052,6853,2842,607,62
05133,Sevier County,11710,865,1572,3054,3330,2355,483,51,0,0,0
05135,Sharp County,45326,2453,9290,22560,8043,2456,492,32,0,0,0
05137,Stone County,14993,32,65,3066,7141,3859,725,104,1,0,0
05139,Union County,29649,4456,6533,12681,5274,685,20,0,0,0,0
05141,Van Buren County,31737,2598,4951,10104,8250,4855,927,52,0,0,0
05143,Washington County,104654,4360,1921,15684,30266,30076,17265,4232,809,37,4
05145,White County,45619,2044,2124,16575,11613,7847,4313,1100,3,0,0
05147,Woodruff County,10518,6190,3114,891,193,72,56,2,0,0,0
05149,Yell County,18754,551,1033,3358,5519,5696,2223,374,0,0,0
06001,Alameda County,404677,177491,27684,54238,54283,21902,8839,21131,17251,9975,11883
06003,Alpine County,2310,18,7,114,447,872,281,281,219,42,29
06005,Amador County,23597,54,37,585,1303,2133,3422,3937,7177,3092,1857
06007,Butte County,95334,1937,992,7042,17515,27130,15917,9507,8438,2320,4536
06009,Calaveras County,42952,169,6,88,1766,3216,3770,7484,9585,6983,9885
06011,Colusa County,14830,3316,1311,5093,2410,410,394,545,715,282,354
06013,Contra Costa County,374413,68254,9028,29958,30066,23456,21718,26544,23953,15248,68127
06015,Del Norte County,16131,3139,5119,3832,2862,711,175,170,88,31,4
06017,El Dorado County,113801,199,187,4055,6322,14408,22390,14228,25830,10225,15957
06019,Fresno County,308187,122632,8936,25999,50713,62704,20971,5199,7817,1787,1429
06021,Glenn County,14832,2676,1032,7644,1700,400,453,517,336,64,10
06023,Humboldt County,72635,16345,11472,17889,14056,5581,2624,1528,734,472,1915
06025,Imperial County,86927,41268,6789,25740,12924,191,11,4,0,0,0
06027,Inyo County,15895,3368,1399,2121,2014,1734,2742,2042,416,55,4
06029,Kern County,412498,107321,44038,73193,69944,44876,15738,9049,10766,8916,28657
06031,Kings County,50579,6233,3512,13006,19907,5225,818,1652,35,90,101
06033,Lake County,63990,229,116,1414,3654,6484,6360,6466,8485,9867,20915
06035,Lassen County,33209,485,414,2215,3304,4249,4216,3885,7128,4785,2528
06037,Los Angeles County,2093379,803417,130162,365152,194823,97363,39297,107127,150426,57841,147750
06039,Madera County,61718,1814,696,4849,7243,10314,13520,11825,9566,1030,861
06041,Marin County,96289,4673,9890,35531,26174,14100,5470,451,0,0,0
06043,Mariposa County,14271,36,0,14,343,1089,1751,2725,2556,2097,3660
06045,Mendocino County,61221,1949,1330,8856,14383,12037,9999,4636,2930,1464,3637
06047,Merced County,89078,12939,2381,8187,12953,19638,26756,5261,208,252,503
06049,Modoc County,33092,908,431,1627,2865,4433,4798,7626,8782,1516,106
06051,Mono County,20491,372,211,1032,1553,1934,1607,1807,6542,1578,3855
06053,Monterey County,121232,42636,4717,27134,23927,8437,5617,2921,4535,737,571
06055,Napa County,49843,1644,1068,5677,6134,11686,14866,5813,2528,399,28
06057,Nevada County,63442,67,5,1325,10268,14683,7425,8821,7435,3707,9706
06059,Orange County,683875,394434,29073,78343,83487,39977,25835,13501,9161,7359,2705
06061,Placer County,185012,20024,2026,12367,37539,43919,26184,29357,8649,2117,2830
06063,Plumas County,25473,232,1395,3769,3067,4793,3813,4818,2551,687,348
06065,Riverside County,874185,75993,16893,60474,35970,33331,50824,81056,197812,138995,182837
06067,Sacramento County,466957,205957,40892,145156,46783,14420,7284,4036,2429,0,0
06069,San Benito County,23438,765,371,1348,1299,1410,1456,4320,6870,4656,943
06071,San Bernardino County,827249,91938,70519,151400,94707,44617,40610,65999,119686,63133,84640
06073,San Diego County,745583,195618,33080,137694,66284,57309,80216,71675,45526,21156,37025
06075,San Francisco County,154543,131337,1790,9310,11003,1103,0,0,0,0,0
06077,San Joaquin County,236901,107166,25159,49324,22981,24499,7131,207,158,71,205
06079,San Luis Obispo County,129466,1568,1465,11873,19617,20391,14374,17045,20615,9425,13093
06081,San Mateo County,215350,109586,14215,30310,36599,22678,1924,37,1,0,0
06083,Santa Barbara County,131230,3948,3677,16756,32350,36159,30506,4628,2754,353,99
06085,Santa Clara County,473212,268050,16724,44413,22751,56381,20529,16105,16363,8413,3483
06087,Santa Cruz County,95696,105,217,8817,20894,33508,29784,2159,210,2,0
06089,Shasta County,95643,854,1208,4109,5464,8102,18438,26773,16025,4634,10036
06091,Sierra County,4873,21,10,155,391,306,317,254,469,504,2446
06093,Siskiyou County,53543,1177,1411,6519,7857,7095,5493,5497,7687,2967,7840
06095,Solano County,148590,15656,3422,22006,9009,15252,17481,26869,29427,7654,1814
06097,Sonoma County,186564,12577,5048,25074,38220,49456,41160,14870,103,25,31
06099,Stanislaus County,164258,68298,6150,27852,47384,12115,325,307,506,225,1096
06101,Sutter County,35558,3597,1529,4770,24444,1217,1,0,0,0,0
06103,Tehama County,40002,355,396,2629,4024,4801,7137,5382,6047,3255,5976
06105,Trinity County,16225,62,5,96,831,1784,1465,1967,2005,1891,6119
06107,Tulare County,159226,22961,4188,22039,50246,45543,10756,2264,768,288,173
06109,Tuolumne County,43054,563,99,348,803,2880,4236,7642,13265,6471,6747
06111,Ventura County,257578,27678,7966,30501,14913,34656,39585,65445,34292,770,1772
06113,Yolo County,65319,19624,2985,13842,24512,2422,1011,450,218,49,206
06115,Yuba County,33290,1778,897,5074,9615,7416,459,781,1464,1085,4721
08001,Adams County,173298,60294,4946,14802,10030,8343,18580,41976,14320,7,0
08003,Alamosa County,14317,1530,6001,1869,1170,1445,2215,87,0,0,0
08005,Arapahoe County,219568,88129,10246,14766,8471,9955,20581,33148,30029,4218,25
08007,Archuleta County,18095,160,1054,4936,4909,3857,1641,935,595,4,4
08009,Baca County,621,0,0,0,15,41,115,234,175,35,6
08011,Bent County,,0,0,0,0,0,0,0,0,0,0
08013,Boulder County,112480,11876,1847,10686,11636,20406,23367,17694,7815,4963,2190
08014,Broomfield County,26630,2121,655,2466,2231,6990,9111,3056,0,0,0
08015,Chaffee County,16895,143,128,1431,2008,3177,6748,2718,542,0,0
08017,Cheyenne County,4579,773,154,441,919,1490,357,142,43,32,228
08019,Clear Creek County,14888,855,2811,5432,3058,1848,783,101,0,0,0
08021,Conejos County,8144,2363,3059,2140,566,10,6,0,0,0,0
08023,Costilla County,45691,6282,32009,6270,1070,57,3,0,0,0,0
08025,Crowley County,,0,0,0,0,0,0,0,0,0,0
08027,Custer County,8715,35,852,2831,2106,1384,914,541,34,18,0
08029,Delta County,18627,4023,2327,4704,2898,2058,2031,221,155,67,143
08031,Denver County,190528,153937,5065,3787,2661,4088,5354,13284,2352,0,0
08033,Dolores County,3712,1044,1520,674,343,101,11,11,3,5,0
08035,Douglas County,148226,1852,678,2960,3163,5833,12283,28070,55082,23814,14491
08037,Eagle County,24218,165,305,3775,5424,5212,4746,3680,837,56,18
08039,Elbert County,15782,172,82,1045,1399,1423,4043,4890,2574,154,0
08041,El Paso County,266338,3612,5057,22725,12641,12634,11922,14604,63475,66571,53097
08043,Fremont County,28566,13,107,917,1474,2276,3319,3652,3631,6616,6561
08045,Garfield County,27273,890,661,4573,5370,5410,3828,3048,1743,1150,600
08047,Gilpin County,8713,66,426,4739,2151,940,334,56,1,0,0
08049,Grand County,21986,959,2547,8339,6185,2711,1221,21,3,0,0
08051,Gunnison County,17783,472,2269,4926,6119,2777,823,294,77,24,2
08053,Hinsdale County,,0,0,0,0,0,0,0,0,0,0
08055,Huerfano County,14197,170,879,2082,1917,1551,1169,883,5029,517,0
08057,Jackson County,2813,60,79,1428,363,216,134,400,133,0,0
08059,Jefferson County,212323,68100,7179,16805,11625,27135,40299,31690,8794,623,73
08061,Kiowa County,,0,0,0,0,0,0,0,0,0,0
08063,Kit Carson County,9518,3414,551,1416,2162,1653,113,209,0,0,0
08065,Lake County,8674,418,309,3229,4174,402,142,0,0,0,0
08067,La Plata County,34622,1006,2373,7396,5775,6243,4584,4412,2590,220,23
08069,Larimer County,161437,16395,3855,18191,16571,14593,22634,31482,25704,9880,2132
08071,Las Animas County,14102,132,67,654,1537,1081,1210,1603,1975,820,5023
08073,Lincoln County,3561,728,363,1911,383,70,29,77,0,0,0
08075,Logan County,12096,1651,482,2050,1542,1664,3808,895,4,0,0
08077,Mesa County,76600,19760,3801,11878,7244,7993,8250,11160,6410,57,47
08079,Mineral County,2423,207,1111,997,86,20,2,0,0,0,0
08081,Moffat County,10151,235,137,796,1396,1305,2287,3379,356,132,128
08083,Montezuma County,14950,1810,1399,3852,2329,1109,1761,2241,295,112,42
08085,Montrose County,26234,7547,2431,5850,3162,4434,2450,234,59,36,31
08087,Morgan County,15562,3180,833,2142,2143,4464,2516,270,14,0,0
08089,Otero County,11567,833,263,915,903,986,967,646,541,720,4793
08091,Ouray County,5847,577,1456,2823,711,179,61,40,0,0,0
08093,Park County,39781,978,7327,17923,7876,3550,1001,778,332,16,0
08095,Phillips County,4169,1342,151,650,669,1053,303,1,0,0,0
08097,Pitkin County,16350,60,380,2879,4291,6100,1555,816,255,14,0
08099,Prowers County,9656,1269,567,1315,1063,701,555,408,499,2739,540
08101,Pueblo County,100800,4532,1412,11319,10908,12849,9779,11920,9273,8812,19996
08103,Rio Blanco County,4654,111,190,709,659,718,1134,714,376,18,25
08105,Rio Grande County,12450,1794,3401,3986,2656,612,1,0,0,0,0
08107,Routt County,20322,451,660,4874,6551,4983,2345,368,73,7,10
08109,Saguache County,14474,2183,4922,4080,1792,1120,298,79,0,0,0
08111,San Juan County,2134,750,602,756,25,1,0,0,0,0,0
08113,San Miguel County,7277,715,1036,3176,1472,424,250,126,69,5,4
08115,Sedgwick County,2996,940,93,645,247,996,72,3,0,0,0
08117,Summit County,20693,299,1826,6705,5491,4413,1778,164,13,4,0
08119,Teller County,26404,11,507,2812,4652,5881,6584,4677,939,203,138
08121,Washington County,,0,0,0,0,0,0,0,0,0,0
08123,Weld County,150541,22245,4685,14304,12718,12393,19770,26683,23221,11664,2858
08125,Yuma County,12241,2113,525,1681,2264,2235,1473,1609,341,0,0
09001,Fairfield County,272462,176320,86046,10080,16,0,0,0,0,0,0
09003,Hartford County,264221,173747,77392,12789,275,18,0,0,0,0,0
09005,Litchfield County,85554,27106,40406,17588,437,17,0,0,0,0,0
09007,Middlesex County,71574,29290,24864,16304,1110,6,0,0,0,0,0
09009,New Haven County,260015,145557,78976,35150,329,3,0,0,0,0,0
09011,New London County,106675,47277,35419,22410,1500,69,0,0,0,0,0
09013,Tolland County,52630,13367,21125,17655,480,3,0,0,0,0,0
09015,Windham County,49525,9181,15792,22311,2225,16,0,0,0,0,0
10001,Kent County,80961,65605,14557,763,36,0,0,0,0,0,0
10003,New Castle County,197486,171161,23104,3093,128,0,0,0,0,0,0
10005,Sussex County,150412,116224,24102,9573,449,64,0,0,0,0,0
11001,District of Columbia,136963,118343,8982,9168,462,8,0,0,0,0,0
12001,Alachua County,100474,8796,4542,24744,20019,13844,9932,9141,5650,1862,1944
12003,Baker County,12762,14,10,408,1850,2086,2743,2551,1811,731,558
12005,Bay County,121797,37208,7378,17987,26715,16489,7214,6030,1852,924,0
12007,Bradford County,15384,3,0,202,1831,3463,3858,3578,1990,375,84
12009,Brevard County,303134,124012,29091,68208,37142,16459,8129,6269,5778,4315,3731
12011,Broward County,530520,481742,14149,21511,8515,2299,753,549,538,148,316
12013,Calhoun County,11651,340,684,4412,3578,1545,724,324,44,0,0
12015,Charlotte County,206656,101656,20770,50250,17517,6165,1826,1856,2303,739,3574
12017,Citrus County,147228,13046,12506,55332,36983,17337,7225,3570,993,190,46
12019,Clay County,95993,3992,2304,17850,25037,20873,13661,8480,3055,518,223
12021,Collier County,191080,66590,19927,52423,24737,12824,5305,4055,3275,1224,720
12023,Columbia County,37070,27,21,2164,6445,7267,7815,6992,4655,1207,477
12027,DeSoto County,19812,2662,1835,6417,4474,2137,1005,700,302,65,215
12029,Dixie County,16306,55,38,1400,3276,2920,1909,2206,1699,1201,1602
12031,Duval County,385600,113649,17625,85984,69760,52017,29743,13123,2714,699,286
12033,Escambia County,146745,68614,15456,36510,18314,6204,1222,419,6,0,0
12035,Flagler County,78819,13391,6995,26381,16216,10203,3066,1851,675,39,2
12037,Franklin County,17836,4027,1711,5520,3514,1788,955,254,59,8,0
12039,Gadsden County,27441,842,1381,9379,8278,5261,1917,368,15,0,0
12041,Gilchrist County,14419,6,6,1299,3349,3131,2631,2365,1281,270,81
12043,Glades County,11277,3599,1006,1584,1518,683,302,414,554,399,1218
12045,Gulf County,18033,877,709,3422,3736,3215,2790,1903,1338,43,0
12047,Hamilton County,13249,51,7,791,2490,2235,2036,2572,2363,529,175
12049,Hardee County,14435,1503,1050,4561,3356,2171,1338,402,49,5,0
